time,bitcoins
2012/12/23 0:00,10583350
2012/12/25 0:00,10589600
2012/12/27 0:00,10597225
2012/12/29 0:00,10604975
2012/12/31 0:00,10613175
2013/1/2 0:00,10621175
2013/1/4 0:00,10628700
2013/1/6 0:00,10635975
2013/1/8 0:00,10643750
2013/1/10 0:00,10650750
2013/1/12 0:00,10656750
2013/1/14 0:00,10663650
2013/1/16 0:00,10669900
2013/1/18 0:00,10676100
2013/1/20 0:00,10682925
2013/1/22 0:00,10689775
2013/1/24 0:00,10696825
2013/1/26 0:00,10704050
2013/1/28 0:00,10711550
2013/1/30 0:00,10719225
2013/2/1 0:00,10727800
2013/2/3 0:00,10735950
2013/2/5 0:00,10744650
2013/2/7 0:00,10752200
2013/2/9 0:00,10759400
2013/2/11 0:00,10767475
2013/2/13 0:00,10774975
2013/2/15 0:00,10783475
2013/2/17 0:00,10792850
2013/2/19 0:00,10801025
2013/2/21 0:00,10810275
2013/2/23 0:00,10818350
2013/2/25 0:00,10827325
2013/2/27 0:00,10836275
2013/3/1 0:00,10844500
2013/3/3 0:00,10852050
2013/3/5 0:00,10860175
2013/3/7 0:00,10868025
2013/3/9 0:00,10875925
2013/3/11 0:00,10885200
2013/3/13 0:00,10892000
2013/3/15 0:00,10900875
2013/3/17 0:00,10910350
2013/3/19 0:00,10919750
2013/3/21 0:00,10930000
2013/3/23 0:00,10940875
2013/3/25 0:00,10949700
2013/3/27 0:00,10956750
2013/3/29 0:00,10965775
2013/3/31 0:00,10973850
2013/4/2 0:00,10983675
2013/4/4 0:00,10992125
2013/4/6 0:00,10999925
2013/4/8 0:00,11008200
2013/4/10 0:00,11017000
2013/4/12 0:00,11025425
2013/4/14 0:00,11033475
2013/4/16 0:00,11042050
2013/4/18 0:00,11050300
2013/4/20 0:00,11057050
2013/4/22 0:00,11065450
2013/4/24 0:00,11073800
2013/4/26 0:00,11082075
2013/4/28 0:00,11090225
2013/4/30 0:00,11098475
2013/5/2 0:00,11105600
2013/5/4 0:00,11113125
2013/5/6 0:00,11121050
2013/5/8 0:00,11129525
2013/5/10 0:00,11137850
2013/5/12 0:00,11146675
2013/5/14 0:00,11154850
2013/5/16 0:00,11162150
2013/5/18 0:00,11169850
2013/5/20 0:00,11177150
2013/5/22 0:00,11185025
2013/5/24 0:00,11193100
2013/5/26 0:00,11201425
2013/5/28 0:00,11209775
2013/5/30 0:00,11218200
2013/6/1 0:00,11227800
2013/6/3 0:00,11238125
2013/6/5 0:00,11248425
2013/6/7 0:00,11256900
2013/6/9 0:00,11265275
2013/6/11 0:00,11274175
2013/6/13 0:00,11284000
2013/6/15 0:00,11292700
2013/6/17 0:00,11301225
2013/6/19 0:00,11308000
2013/6/21 0:00,11315975
2013/6/23 0:00,11324675
2013/6/25 0:00,11331950
2013/6/27 0:00,11340825
2013/6/29 0:00,11349050
2013/7/1 0:00,11356975
